Code,District,11/14/2020,11/15/2020,11/16/2020,11/17/2020,11/18/2020,11/19/2020,11/20/2020,11/21/2020,11/22/2020,11/23/2020,11/24/2020,11/25/2020,11/26/2020,11/27/2020,11/28/2020,11/29/2020,11/30/2020,12/1/2020,12/2/2020,12/3/2020,12/4/2020,12/5/2020,12/6/2020,12/7/2020,12/8/2020,12/9/2020,12/10/2020,12/11/2020,12/12/2020,12/13/2020,12/14/2020,12/15/2020,12/16/2020,12/17/2020,12/18/2020,12/19/2020,12/20/2020,12/21/2020,12/22/2020,12/23/2020,12/24/2020,12/25/2020,12/26/2020,12/27/2020,12/28/2020,12/29/2020,12/30/2020,12/31/2020,1/1/2021,1/2/2021,1/3/2021,1/4/2021,1/5/2021,1/6/2021,1/7/2021,1/8/2021,1/9/2021,1/10/2021,1/11/2021,1/12/2021,1/13/2021,1/14/2021,1/15/2021,1/16/2021,1/17/2021,1/18/2021,1/19/2021,1/20/2021,1/21/2021,1/22/2021,1/23/2021,1/24/2021,1/25/2021,1/26/2021,1/27/2021,1/28/2021,1/29/2021,1/30/2021,1/31/2021,2/1/2021,2/2/2021,2/3/2021,2/4/2021,2/5/2021,2/6/2021,2/7/2021,2/8/2021,2/9/2021,2/10/2021,2/11/2021,2/12/2021,2/13/2021,2/14/2021,2/15/2021,2/16/2021,2/17/2021,2/18/2021,2/19/2021,2/20/2021,2/21/2021,2/22/2021,2/23/2021,2/24/2021,2/25/2021,2/26/2021,2/27/2021,2/28/2021,3/1/2021,3/2/2021,3/3/2021,3/4/2021,3/5/2021,3/6/2021,3/7/2021,3/8/2021,3/9/2021,3/10/2021,3/11/2021,3/12/2021,3/13/2021,3/14/2021,3/15/2021,3/16/2021,3/17/2021,3/18/2021,3/19/2021,3/20/2021,3/21/2021,3/22/2021,3/23/2021,3/24/2021,3/25/2021,3/26/2021,3/27/2021,3/28/2021,3/29/2021,3/30/2021,3/31/2021,4/1/2021,4/2/2021,4/3/2021,4/4/2021,4/5/2021,4/6/2021,4/7/2021,4/8/2021,4/9/2021,4/10/2021,4/11/2021,4/12/2021,4/13/2021,4/14/2021,4/15/2021,4/16/2021,4/17/2021,4/18/2021,4/19/2021,4/20/2021,4/21/2021,4/22/2021,4/23/2021,4/24/2021,4/25/2021,4/26/2021,4/27/2021,4/28/2021,4/29/2021,4/30/2021,5/1/2021,5/2/2021,5/3/2021,5/4/2021,5/5/2021,5/6/2021,5/7/2021,5/8/2021,5/9/2021,5/10/2021,5/11/2021,5/12/2021,5/13/2021,5/14/2021,5/15/2021,5/16/2021,5/17/2021,5/18/2021,5/19/2021,5/20/2021,5/21/2021,5/22/2021
KEG,KEGALLE,170,174,175,178,191,192,192,192,192,194,194,194,194,195,198,203,205,207,208,211,215,217,224,228,228,231,236,236,237,238,241,243,249,254,261,270,275,298,325,327,327,366,379,401,475,482,501,503,556,570,617,619,641,650,655,685,706,718,723,767,786,820,836,844,878,895,899,908,932,944,946,955,978,1012,1028,1034,1040,1054,1067,1109,1114,1131,1146,1156,1177,1186,1194,1199,1204,1213,1253,1270,1276,1280,1298,1305,1315,1327,1334,1355,1364,1372,1379,1397,1406,1425,1433,1436,1439,1441,1446,1461,1472,1523,1540,1563,1585,1593,1623,1634,1643,1646,1647,1648,1654,1655,1656,1658,1663,1665,1667,1670,1673,1676,1679,1679,1679,1695,1696,1705,1706,1706,1707,1709,1710,1710,1710,1713,1713,1715,1715,1715,1715,1715,1715,1716,1718,1719,1725,1729,1732,1734,1745,1745,1759,1759,1760,1765,1792,1804,1821,1825,1830,1837,1843,1849,1870,1874,1879,1888,1896,1911,1918,1979,1985,1992,1997,2050,2061,2191
MON,MONERAGALA,12,14,14,14,14,14,14,15,15,16,16,16,16,16,16,17,17,17,17,17,17,19,19,20,21,22,22,23,23,24,31,36,52,64,64,78,81,88,88,88,88,89,95,113,114,114,115,119,123,123,125,127,127,133,133,133,137,137,140,141,152,153,154,165,176,179,184,201,204,206,210,226,235,239,244,246,248,254,255,256,259,269,275,277,280,287,292,295,296,315,317,320,321,336,337,338,345,346,347,347,353,355,364,403,404,413,447,447,447,447,450,454,455,456,463,476,477,498,498,511,513,528,528,530,539,541,544,554,568,568,576,589,589,594,606,609,611,618,620,620,621,621,623,628,631,631,636,636,636,637,637,637,637,637,637,637,642,645,645,652,657,665,675,704,737,788,813,884,913,993,1054,1073,1109,1137,1147,1207,1238,1257,1358,1399,1512,1528,1542,1592,1641,1647,1751,1801,1811,1906
KAM,KALMUNAI,2,2,2,2,2,2,2,3,3,4,4,4,4,4,18,40,47,54,68,89,119,155,173,197,202,249,298,312,323,341,363,393,422,464,495,520,570,570,580,594,595,603,644,652,679,700,700,700,713,731,736,764,771,780,805,808,834,836,843,848,869,883,907,916,917,920,926,931,949,953,976,1017,1026,1037,1057,1061,1065,1070,1072,1074,1085,1093,1101,1101,1104,1130,1130,1132,1132,1139,1143,1153,1164,1169,1178,1181,1183,1192,1193,1196,1201,1201,1210,1210,1218,1220,1222,1222,1222,1229,1230,1235,1238,1246,1247,1249,1252,1253,1256,1263,1263,1263,1271,1272,1275,1276,1277,1279,1280,1284,1287,1287,1288,1288,1288,1289,1289,1289,1289,1289,1289,1289,1292,1292,1292,1292,1292,1293,1293,1293,1293,1293,1293,1293,1294,1295,1295,1295,1295,1295,1295,1295,1303,1304,1306,1306,813,1311,1314,1314,1314,1314,1315,1315,1316,1316,1317,1319,1320,1321,1323,1323,1323,1323,1323,1332,1332,1332,1339,1341
MTL,MATALE,28,29,29,30,30,30,30,30,30,31,31,31,31,31,36,37,38,41,44,45,45,46,46,47,47,48,54,55,58,58,66,66,72,74,74,74,79,80,80,86,86,87,88,89,89,90,91,93,109,114,116,124,128,130,146,146,148,160,165,169,176,183,216,220,220,254,268,268,284,306,356,361,371,410,428,473,476,478,486,498,519,543,547,550,567,576,590,598,606,615,640,644,644,648,667,671,702,719,730,770,788,796,804,818,825,850,859,866,875,877,880,900,911,913,920,927,930,942,951,953,956,956,979,981,987,990,1002,1016,1280,1023,1029,1029,1033,1034,1039,1039,1046,1054,1057,1058,1058,1059,1059,1060,1060,1061,1063,1064,1064,1064,1064,1064,1064,1293,1076,1077,1078,1079,1083,1087,1090,1109,1140,1178,1272,1288,1401,1519,1544,1612,1637,1754,1804,1919,2014,2030,2036,2103,2169,2308,2450,2566,2568,2647,2669,2697,2721,2895,2965,3081
GAL,GALLE,123,129,174,178,183,188,191,192,208,210,210,210,214,215,215,215,217,219,219,226,229,241,246,264,280,287,294,306,308,335,348,348,380,409,413,421,428,475,487,499,509,528,536,538,552,564,576,594,626,628,664,672,675,699,701,726,769,780,798,826,840,863,873,929,951,961,985,1012,1046,1098,1150,1180,1189,1219,1273,1312,1323,1329,1357,1393,1407,1437,1483,1520,1572,1587,1605,1619,1664,1717,1735,1759,1781,1785,1814,1835,1852,1864,1875,1883,1898,1921,1937,1947,1961,1977,1994,2013,2037,2052,2073,2092,2103,2111,2116,2142,2171,2188,2200,2234,2286,2316,2316,2338,2358,2379,2384,2416,1280,2427,2445,2450,2451,2457,2461,2464,2466,2468,2469,2477,2478,2478,2482,2485,2490,2495,2498,2501,2501,2509,2511,2511,2511,2512,2513,2515,2519,2530,2531,2567,2578,2610,2634,2661,2677,2748,2794,2824,2872,2986,3031,3099,3225,3294,3406,3464,3567,3661,3779,3907,3941,4016,4215,4336,4538,4709,4786,4816,5116,5355
AMP,AMPARA,22,22,23,23,26,26,27,27,27,27,27,27,27,27,28,28,28,30,30,30,30,30,30,31,31,31,32,32,36,36,36,36,36,37,37,37,37,38,39,39,39,40,40,40,40,40,40,41,41,41,41,42,42,42,47,51,59,65,65,67,74,74,79,84,84,89,92,92,104,106,108,110,113,115,117,118,125,125,139,139,140,142,150,152,154,158,172,174,174,204,206,206,208,209,223,223,227,227,233,244,254,262,269,272,276,276,278,280,281,287,291,292,292,292,292,294,294,296,297,297,297,299,299,299,299,300,302,302,302,302,305,305,305,305,317,320,323,323,323,325,327,327,329,329,331,332,332,332,332,332,335,335,335,335,335,335,335,336,336,336,336,337,343,346,359,359,360,362,362,400,400,402,411,413,416,445,446,450,450,452,502,511,511,516,528,531,591,596,606,608
BAD,BADULLA,32,34,34,37,42,42,43,44,44,47,47,50,50,55,58,58,58,62,66,88,91,91,91,117,121,121,121,129,129,131,143,146,148,151,158,160,162,164,164,164,164,165,165,168,171,171,172,177,180,181,183,188,191,192,195,195,195,200,201,201,210,210,211,214,222,231,239,254,260,263,275,280,285,298,304,320,323,342,342,366,374,418,458,504,517,617,725,824,908,938,944,948,965,975,989,993,1060,1075,1129,1151,1166,1189,1204,1245,1245,1265,1266,1277,1277,1290,1294,1297,1306,1310,1342,1344,1352,1361,1363,1367,1374,1380,1393,1397,1406,1430,1436,1455,1468,1474,1476,1500,1502,1503,1516,1526,1541,1544,1547,1548,1549,1552,1554,1554,1554,1554,1558,1559,1566,1570,1570,1570,1570,1572,1572,1572,1572,1572,1574,1574,1577,1578,1580,1581,1581,1581,1597,1605,1618,1658,1680,1695,1753,1776,1803,1863,1879,1922,1947,1953,2117,2130,2158,2203,2302,2313,2379,2427,2440,2605
MTR,MATARA,26,26,26,27,27,28,30,30,31,34,35,35,36,36,37,37,47,50,51,53,55,55,58,68,69,69,69,89,95,99,121,126,126,134,153,168,192,194,215,221,232,256,256,268,268,290,298,322,323,323,349,374,376,376,403,407,422,425,456,457,458,468,481,498,501,503,538,553,577,640,646,697,754,766,779,803,817,851,853,883,901,901,914,947,973,997,1080,1096,1102,1139,1190,1255,1287,1293,1322,1340,1346,1358,1359,1382,1396,1447,1473,1494,1497,1511,1511,1541,1541,1542,1548,1570,1571,1588,1592,1592,1593,1600,1610,1611,1613,1643,1700,1701,1706,1712,1722,1730,1731,1736,1742,1743,1743,1752,1753,1760,1763,1764,1765,1784,1794,1806,1806,1808,1813,1817,1817,1829,1829,1834,1834,1834,1834,1834,1834,1835,1845,1845,1845,1847,1850,1861,1867,1873,1880,1911,1921,1934,1987,2013,2044,2094,2160,2187,2230,2308,2351,2426,2517,2566,2650,2718,2764,2817,3007,3056,3181,3278,3366,3477
BAT,BATTICOLOA,63,69,70,70,75,75,75,77,78,78,78,78,78,78,81,81,81,81,81,82,90,90,93,93,94,95,96,97,97,97,98,98,99,99,100,100,102,102,102,103,105,107,111,115,116,116,119,121,121,128,156,156,161,170,180,186,191,211,211,211,228,228,238,238,240,242,255,265,273,278,284,291,296,311,318,321,324,332,332,333,335,342,343,348,353,356,356,363,364,368,371,396,398,399,399,426,426,427,436,441,449,450,456,458,467,469,470,471,473,494,495,498,498,498,514,518,526,528,533,538,543,545,545,549,556,557,567,570,573,573,582,584,585,586,586,586,588,588,588,588,588,588,588,588,588,590,590,591,591,592,596,596,596,597,597,597,598,598,598,598,598,598,599,599,599,599,604,610,611,611,636,637,643,644,645,650,650,650,650,651,667,667,667,675,682,685,686,687,736,742
HAM,HAMBANTOTA,20,21,21,22,22,22,22,23,23,23,23,23,23,23,24,24,24,24,24,24,24,25,26,26,26,74,74,75,75,75,77,77,79,79,87,87,87,88,97,97,97,100,104,105,107,109,113,114,114,116,120,139,144,158,163,166,172,174,189,201,202,203,204,205,213,215,220,255,258,262,278,289,307,312,318,319,332,333,333,341,353,369,376,380,411,415,460,466,468,488,489,489,496,511,511,538,539,539,539,542,549,549,567,584,587,587,592,596,597,602,602,605,606,606,612,614,625,625,627,628,630,639,640,647,647,652,657,657,657,661,667,686,690,690,707,712,723,723,723,728,732,735,736,737,737,737,737,743,749,755,759,759,759,759,760,760,761,764,764,774,598,801,830,841,844,864,868,891,894,932,936,963,1001,1057,1066,1073,1085,1150,1192,1207,1220,1232,1277,1376,1405,1445,1574,1643,1746,1839
VAN,VAVUNIA,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,17,17,17,17,17,17,17,19,19,19,23,23,23,23,27,28,30,30,31,32,32,32,32,32,32,32,32,32,32,32,32,33,38,38,38,93,93,93,102,155,171,174,195,197,233,240,260,285,285,305,311,314,314,314,315,317,317,319,325,326,328,329,329,333,333,336,339,339,342,344,354,354,355,356,356,356,358,358,358,358,358,358,358,358,358,361,361,362,362,362,362,362,362,362,362,362,368,382,385,385,386,386,386,387,394,402,402,402,405,407,409,409,409,411,412,419,419,419,421,422,422,430,431,431,431,432,432,432,432,432,432,433,433,433,436,436,436,436,436,436,448,448,463,463,465,466,469,471,473,478,481,488,497,501,502,502,510,511,514,519,523,524,542,542,554,557,565,567
TRI,TRINCOMALEE,10,11,11,12,12,12,12,12,13,14,14,14,14,14,14,14,15,16,17,17,17,17,17,17,19,19,22,22,27,27,27,28,28,28,28,29,30,31,33,50,61,61,61,61,69,76,77,85,91,91,97,97,104,104,117,140,141,141,152,158,175,182,196,208,210,235,237,285,319,333,334,346,346,359,367,369,377,378,404,405,405,406,409,409,409,420,420,420,420,423,435,435,437,438,453,454,463,464,464,464,471,471,471,475,475,475,475,477,477,478,478,478,478,478,484,484,484,484,484,485,494,504,504,504,504,504,504,506,506,524,527,527,528,528,528,528,539,539,539,548,550,553,553,553,553,553,553,553,553,553,553,553,553,553,573,573,575,575,575,587,591,602,612,615,618,620,672,716,726,745,748,811,826,851,867,877,883,883,883,896,908,909,911,933,938,947,951,951,962,1155
NUW,NUWARAELIYA,47,47,47,47,48,49,50,54,56,63,72,78,94,101,118,118,125,129,132,145,160,161,170,189,216,216,216,219,224,237,243,249,296,301,313,318,320,322,323,352,352,364,383,385,387,421,456,485,511,535,541,550,554,567,567,567,567,574,574,595,599,608,609,610,616,626,646,657,657,657,657,680,685,686,700,702,703,742,742,769,770,788,808,835,837,855,855,869,869,882,909,911,911,913,963,969,970,974,981,991,1030,1031,1082,1082,1105,1137,1138,1141,1180,1181,1181,1181,1199,1215,1219,1225,1232,1236,1236,1236,1245,1246,1247,1249,1254,1270,1273,1288,1289,1298,1321,1322,1323,1340,1340,1340,1341,1345,1352,1356,1366,1366,1366,1366,1369,1388,1388,1388,1389,1389,1391,1391,1391,1398,1399,1400,1400,1400,1405,1406,1428,1428,1445,1448,1453,1518,1540,1565,1570,1713,1721,1763,1841,1894,1901,1933,1938,1986,2006,2067,2083,2138,2220,2224,2442,2498,2610,2614,2786,2789
KIL,KILINOCHCHI,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,10,10,11,12,12,12,12,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,16,17,17,17,17,17,17,17,17,17,17,19,19,20,20,27,27,27,27,27,30,30,30,30,30,32,32,32,32,34,34,34,34,34,35,35,35,35,35,35,36,36,37,38,38,38,38,40,41,44,53,54,55,76,77,80,88,92,99,100,101,106,106,106,107,107,107,108,108,110,111,111,111,115,115,115,115,115,118,118,120,121,121,123,124,124,125,125,125,125,126,130,130,130,130,131,132,132,132,132,132,134,134,134,134,134,138,138,141,142,142,142,142,143,143,143,146,146,146,146,146,146,146,147,147,148,148,151,151,151,159,165,165,168,174,209,210,212,236,238,247,260,260,270,284,313,320,364,371
